"STATEFP20","COUNTYFP20","TRACTCE20","BLOCKCE20","GEOID20","NAME20","MTFCC20","UR20","UACE20","UATYPE20","FUNCSTAT20","ALAND20","AWATER20","HOUSING20","POP20","block_group_geoid","block_group_pop","fraction_of_total","OBJECTID","state_code","urban_code","f_system","aadt","ID","Shape_Length","dist"
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,7,44,72505,"3",10202,7,0.0114551237773094,4525.3766689209
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,16,44,72505,"3",11897,16,0.0154916590097377,9331.84912839314
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,17,44,72505,"3",11982,17,0.0147272755215913,2932.69791530613
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,19,44,72505,"3",12329,19,0.0103692256293344,5158.17463917834
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,26,44,72505,"3",13137,26,0.00567107423275708,8129.11879591232
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,34,44,72505,"3",13967,34,0.013183259884423,8394.97916580145
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,37,44,72505,"3",14201,37,0.00396238678763352,7750.48635128109
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,42,44,72505,"3",15242,42,0.00584290790261991,7209.93314004219
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,50,44,72505,"3",16865,50,0.00977415976528208,5997.7830801787
"44","003","022202","2026","440030222022026","Block 2026","G5040","U","72505","U","S",64770,327,10,23,"440030222022",2484,0.00925925925925926,52,44,72505,"3",16989,52,0.00761214569355097,5673.01262429555
